"","X","POSname","NEGname","CommonName","Trtmt","Day","Cmpd","Class","ContainsN","PeakArea"
"180",180,"81S_POSre.mzML","81S_NEGre.mzML","Root_N_7.5day","N",7.5,"nicotinic.acid","OA","Y",214947.71
"181",181,"29S_POS.mzML","29S_NEG.mzML","Bulk_soil","X",0,"phenylalanine","AA","Y",895307.69
"182",182,"49S_POS.mzML","49S_NEG.mzML","Bulk_soil","X",0,"phenylalanine","AA","Y",1163073.99
"183",183,"9S_POS.mzML","9S_NEG.mzML","Bulk_soil","X",0,"phenylalanine","AA","Y",1118772.39
"184",184,"1S_POS.mzML","1S_NEG.mzML","Root_1day","X",1,"phenylalanine","AA","Y",1242030.65
"185",185,"21S_POS.mzML","21S_NEG.mzML","Root_1day","X",1,"phenylalanine","AA","Y",3352000.72
"186",186,"41S_POS.mzML","41S_NEG.mzML","Root_1day","X",1,"phenylalanine","AA","Y",1520666.93
"187",187,"23S_POS.mzML","23S_NEG.mzML","Root_2day","X",2,"phenylalanine","AA","Y",1306172.9
"188",188,"3S_POS.mzML","3S_NEG.mzML","Root_2day","X",2,"phenylalanine","AA","Y",1416153.62
"189",189,"43S_POS.mzML","43S_NEG.mzML","Root_2day","X",2,"phenylalanine","AA","Y",709202.9
"190",190,"25S_POS.mzML","25S_NEG.mzML","Root_3.5day","X",3.5,"phenylalanine","AA","Y",1874114.23
"191",191,"45S_POS.mzML","45S_NEG.mzML","Root_3.5day","X",3.5,"phenylalanine","AA","Y",1441114.31
"192",192,"5S_POS.mzML","5S_NEG.mzML","Root_3.5day","X",3.5,"phenylalanine","AA","Y",1705670.48
"193",193,"27S_POS.mzML","27S_NEG.mzML","Root_5.5day","X",5.5,"phenylalanine","AA","Y",837511.27
"194",194,"47S_POS.mzML","47S_NEG.mzML","Root_5.5day","X",5.5,"phenylalanine","AA","Y",1549542.28
"195",195,"7S_POS.mzML","7S_NEG.mzML","Root_5.5day","X",5.5,"phenylalanine","AA","Y",1528025.45
"196",196,"61S_POS.mzML","61S_NEG.mzML","Root_7.5day","X",7.5,"phenylalanine","AA","Y",1148902.44
"197",197,"63S_POS.mzML","63S_NEG.mzML","Root_7.5day","X",7.5,"phenylalanine","AA","Y",123692.72
"198",198,"65S_POS.mzML","65S_NEG.mzML","Root_7.5day","X",7.5,"phenylalanine","AA","Y",1907802.84
